description,category
Taparia Aluminium Bronze non-sparking oxygen bottle key for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking long nose pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking single ended open jaw spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking diagonal cutting pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Slugging Open Ended Spanners Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Hacksaw Frames Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 12.7mm (1/2) square drive socket set 32 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking sliding T handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 19mm (3/4) square drive socket set 20 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking ring spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking snap ring external pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking cutting pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking ball pein hammer with handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking oxygen bottle key for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Flat Chisel Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking slugging ring spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking round files for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking triangle files for use in hazardous and explosive environments.,Non-Sparking Tools
"Taparia fencing pliers MCP series with joint cutter, available in 250mm and 300mm lengths. Confirming to IS 3650-2026.",Non-Sparking Tools
Taparia Aluminium Bronze non-sparking cutting pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 19mm (3/4) square drive socket set 15 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Non-Sparking Phillips Screwdrivers Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Flat Chisel Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 12.7mm (1/2) square drive socket set 28 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking double ended open jaw spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 19mm (3/4) square drive sockets for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking diagonal cutting pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking double ended open jaw spanner set for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 19mm (3/4) square drive socket set 20 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Non-Sparking Allen Keys Inch Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking lineman pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Allen Keys Metric (mm) Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking half round files for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking driver extension for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Phillips Screwdrivers Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking square drive ratchet handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Pipe Wrench Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 1/2 speed handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 19mm (3/4) square drive socket set 15 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Non-Sparking Slotted Screwdrivers Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Hacksaw Frames Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking double ended open jaw spanner set for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Slotted Screwdrivers Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Hacksaw Blades Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking lineman pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Slugging Open Ended Spanners Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 12.7mm (1/2) square drive sockets for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 1/2 universal joint for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking snap ring internal pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking sledge hammer with handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking ring spanners (Whitworth) for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Allen Keys Metric (mm) Aluminium Bronze (AL-BR). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking adjustable wrench for use in hazardous and explosive environments. Confirming to IS 4595-1969.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking 1/2 universal joint for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking double ended open jaw spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking ring spanners (Whitworth) for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking flat files for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking ring spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 12.7mm (1/2) square drive sockets for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking double ended open jaw spanners (Whitworth) for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Allen Keys Inch Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 19mm (3/4) square drive sockets for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking square drive ratchet handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking sledge hammer with handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 12.7mm (1/2) square drive socket set 32 pieces for use in hazardous environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking combination spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking snap ring internal pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking long nose pliers for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking single ended open jaw spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking snap ring external pliers for use in hazardous and explosive environments.,Non-Sparking Tools
"Unbrako Nylock Nut (Nylon Ring Insert) DIN 985 Grade 10. Duly white zinc plated. M10 to M30. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS M27 x 3 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M12 x 1.75 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Spring nut provides secure fastening in channels, enabling quick installation, strong grip, vibration resistance, and easy adjustment in industrial applications.",Nuts
"TVS M52 x 5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M45 x 4.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1/4"" BSW/UNC/UNF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M10 x 1 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M6 x 1 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M42 x 4.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M24 x 3 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M30 x 3.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/8"" BSF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M42 x 4.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 5/8"" UNC Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako Lock Nut Metric Grade 04. IS 1364-4 / ISO 4035. Thin nut for use with bolts up to Grade 8.8. M10 to M24. MRP per 100 pieces, exclusive of GST.",Nuts
"Unbrako Nylock Nut (Nylon Ring Insert) DIN 985 Grade 8. Duly white zinc plated. Conforming to DIN 985. M6 to M30. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS M12 x 1.75 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS Castle Nut, Metric Series, Grade 8 & 10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M20 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako Heavy Hex Nut Metric, ASTM A194 Grade 2H. For use with ASTM A193 B7 stud bolts in petrochemical applications. M12 to M56. MRP per 100 pieces, exclusive of GST.",Nuts
"Unbrako Lock Nut Metric Grade 05. IS 1364-4 / ISO 4035. Thin nut for use with bolts up to Grade 12.9. M10 to M24. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS M24 x 3 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS Castle Nut, Inch Series. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel Hex Nuts, Metric M5-M20. DIN 934. Superior corrosion resistance. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS 5/8"" BSW/UNF/UNC Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 5/8"" UNF Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/8"" BSW/UNC/UNF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M12 x 1.50 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel Special Nuts. Sizes M8×8, M10×10, M12×12. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS 1/4"" BSF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M14 x 2 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 5/16"" UNC Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M10 x 1.25 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 2"" Nut UNC As Per BS1768 Hexagonal Nut, Inch Series, GR5. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako Hexagon Weld Nut Metric. DIN 929 Grade 6. M6 to M12. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS 7/16"" UNC/UNF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M5 x 0.8 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS Slotted Nut, Metric Series. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M10 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1"" UNC (UK0129-2500) Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M48 x 5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M48 x 5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M33 x 3.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M22 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M20 x 2.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/4"" BSF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel Lock Nuts (Thin Nuts), M8-M24. Metric thread. Superior corrosion resistance. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS M12 x 1.25 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/8"" UNC Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1"" UNC/UNF Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M22 x 2.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M27 x 3 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M16 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel BSW Hex Nuts, 1/4"" to 3/4"". British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS M20 x 2.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 7/16"" UNC Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/4"" UNC Hexagonal Nut, Inch Series, GR5/GR8. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS Cold Forged Precision Square Weld Nut, Metric Series. Thread Fit IS 4218 – Thread Tolerance to 6H. As forged and oiled finish (no surface finish). Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 3/4"" UNC Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 7/16"" BSF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M18 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako Hex Nut Inch UNC Grade 8. Conforming to ANSI B 18.2.2, SAE J 995. UNC 2B thread. 1/4"" to 1-1/2"". MRP per 100 pieces, exclusive of GST.",Nuts
"TVS Slotted Nut, Inch Series. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 5/16"" BSW/UNC/UNF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1/2"" BSW/UNF/UNC Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1-3/4"" Nut UNC As Per BS1768 Hexagonal Nut, Inch Series, GR5. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M18 x 2.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1/4"" UNC Hexagonal Nut, Inch Series, GR5. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M12 x 1.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1-1/4"" Nut UNC As Per BS1768 Hexagonal Nut, Inch Series, GR5. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M39 x 4 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M30 x 3.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M8 x 1 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M14 x 1.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS 1-1/2"" Nut UNC As Per BS1768 Hexagonal Nut, Inch Series, GR5. Specification ANSI B18.2.2/BS 1083, Thread Fit ANSI B1.1/BS 1083. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako HRD Nut BS EN 14399-10, K-class K1. For use with Tension Control Structural Bolts. M12 to M36. MRP per 100 pieces, exclusive of GST.",Nuts
"Unbrako Heavy Hex Nut Inch, ASTM A194 Grade 2H. For use with ASTM A193 B7 stud bolts in petrochemical applications. 1/2"" to 2-1/4"". MRP per 100 pieces, exclusive of GST.",Nuts
"Unbrako Durlok Anti-Vibration Nut Metric. Property Class 12.9. DIN 13 6H thread. M6 to M20. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS M8 x 1.25 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel BSW Hex Nuts, 1/4"" to 3/4"". British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS M6 x 1 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M14 x 2 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel Lock Nuts (Thin Nuts), M8-M24. Metric thread. Corrosion resistant. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
"TVS M22 x 2.5 Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Metric Series. DIN 982 specification, GR8/GR10. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"Unbrako Nylock Nut (Nylon Ring Insert) ISO 7040 Grade 10. Duly white zinc plated. M10 to M30. MRP per 100 pieces, exclusive of GST.",Nuts
"TVS 5/8"" BSF Forged Precision Hexagonal Sunloc (Prevailing Torque) Nut, Inch Series. BS 1083 P-Type specification. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"TVS M18 x 2.5 Hexagonal Nut, Metric Series, GR8/GR10. Specification ISO 4032/DIN 934, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Nuts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel Hex Nuts, Metric M5-M20. DIN 934. Corrosion resistant. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Nuts
